NC State Board of Elections Voter Statistics,,,,,,,,,,,,,,,,,

Reporting Period   04-26-2008,,,,,,,,,,,,,,,,,

Return back to Historical Voter Statistics Query,,,,,,,,,,,,,,,,,
County,Democrats,Republicans,Libertarians,Unaffiliated,White,Black,Am Indian,Hispanic,Other,Male,Female,Total,Percent Democrats,Percent Republicans,Percent Unafiliated,Percent White,Percent Black
LINCOLN,16648,19795,0,9993,43118,2500,55,339,378,21599,24704,46436,36%,43%,22%,93%,5%
MACON,8749,9980,0,5810,23881,253,29,79,111,11317,13142,24539,36%,41%,24%,97%,1%
MADISON,7808,4664,0,3466,15574,117,23,35,85,7605,8210,15938,49%,29%,22%,98%,1%
MARTIN,12105,2971,0,2323,9738,7479,27,35,90,7524,9854,17399,70%,17%,13%,56%,43%
MCDOWELL,11554,10111,0,6455,26908,894,19,89,203,12942,15177,28120,41%,36%,23%,96%,3%
MECKLENBURG,249447,180681,0,138009,375503,162504,1428,7531,13589,253684,311805,568137,44%,32%,24%,66%,29%
MITCHELL,1343,7769,0,2511,11488,21,13,30,32,5414,6194,11623,12%,67%,22%,99%,0%
MONTGOMERY,8576,4899,0,2666,12306,3410,27,90,208,7302,8807,16141,53%,30%,17%,76%,21%
MOORE,17866,25180,0,14335,49034,7223,245,255,576,26073,31304,57381,31%,44%,25%,85%,13%
NASH,33155,20059,0,7838,39324,20376,212,302,684,27284,33675,61052,54%,33%,13%,64%,33%
NEW HANOVER,51090,49273,0,33534,113536,17019,172,637,1359,60275,71761,133897,38%,37%,25%,85%,13%
NORTHAMPTON,11409,1240,0,1508,6010,7950,17,18,36,6005,7930,14157,81%,9%,11%,42%,56%
ONSLOW,29079,28419,0,20804,59507,14252,222,1672,2746,34488,43175,78302,37%,36%,27%,76%,18%
ORANGE,51030,19298,0,25372,77404,11593,196,1108,2534,42677,52491,95700,53%,20%,27%,81%,12%
PAMLICO,4920,2623,0,1690,7245,1821,18,17,50,4194,4969,9233,53%,28%,18%,78%,20%
PASQUOTANK,14031,5782,0,6306,16034,9390,39,81,320,11577,14436,26119,54%,22%,24%,61%,36%
