
state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,uncommitted-d,total-d,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,uncommitted-r,total-r
NY,Broome,190,190,46,9793,,300,,123,5365,116,,15743,,,,,,,,,,,10681
NY,Cattaraugus,55,55,11,3280,,107,,39,1302,46,,4785,113,770,0,0,2359,234,981,,0,,4457
NY,Cayuga,65,65,22,4270,,89,,46,1531,51,,6009,103,776,0,0,2601,301,1054,,0,,4835
NY,Chautauqua,124,90,33,6170,,253,,45,2721,94,,9316,145,1369,11,26,3559,377,1675,,88,,7250
NY,Chemung,85,85,19,3855,,110,,33,1722,35,,5774,110,1043,0,0,3576,292,1563,,0,,6584
NY,Chenango,42,42,5,1588,,51,,24,837,21,,2526,94,643,0,0,1767,208,712,,0,,3424
NY,Clinton,70,35,12,3126,,83,,24,1312,32,,4589,70,296,0,0,1303,165,944,,0,,2778
NY,Columbia,58,50,5,2343,,38,,42,1966,35,,4429,47,346,3,13,1654,78,719,,47,,2907
NY,Cortland,42,42,6,2204,,46,,15,992,23,,3286,73,562,0,0,1553,157,684,,0,,3029
NY,Delaware,59,59,5,1606,,66,,23,934,18,,2652,61,462,15,23,1693,232,802,,30,,3318
NY,Dutchess,256,127,40,8501,,178,,120,7819,168,,16826,287,1123,0,0,3580,791,3415,,0,,9196
NY,Erie,369,330,288,54638,,1773,,554,31438,805,,89496,1064,4377,0,0,16301,2584,10330,,0,,34656
NY,Essex,42,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,,0
NY,Franklin,49,49,4,2162,,52,,14,841,15,,3088,73,273,0,0,1024,114,451,,0,,1935
NY,Fulton,50,50,14,1880,,0,,0,521,21,,2436,0,822,0,0,2021,459,1098,,0,,4400
NY,Genesee,34,34,4,1927,,39,,14,705,30,,2719,89,631,0,3,1663,224,1166,,0,,3776
NY,Greene,52,52,13,1408,,57,,23,909,14,,2424,103,343,0,0,1500,285,774,,0,,3005
NY,Hamilton,11,9,3,174,,9,,3,107,6,,302,17,138,0,0,360,84,158,,0,,757
NY,Herkimer,58,58,19,2443,,73,,27,914,35,,3511,117,622,0,0,2696,313,1270,,0,,5018
NY,Jefferson,91,89,9,3525,,79,,46,1107,33,,4799,206,968,0,0,3166,332,1404,,0,,6076
NY,Lewis,31,31,2,809,,22,,2,307,11,,1153,36,353,0,0,958,102,343,,0,,1792
NY,Livingston,61,61,18,2409,,67,,23,1365,29,,3911,102,682,8,30,1921,245,1436,,61,,4485
NY,Madison,55,54,14,2443,,51,,17,1213,32,,3770,108,599,0,0,2247,277,1235,,0,,4466
NY,Manhattan,1247,1176,590,135565,,2135,,2172,109829,1239,,251530,657,1484,95,89,10635,1284,3786,,185,,18215
NY,Monroe,554,478,134,28399,,561,,253,22824,349,,52520,1103,4463,0,0,14248,2127,13184,,0,,35125
NY,Montgomery,48,48,14,2350,,64,,17,734,28,,3207,59,419,0,0,1196,215,774,,0,,2663
NY,Nassau,1137,742,,,,,,,,,,55726,1096,2072,30,47,20103,1813,9268,,40,,34469
NY,Nassau,1137,745,161,34101,,642,,330,20099,393,,55726,,,,,,,,,,,34469
NY,Niagara,113,102,54,11052,,303,,89,4943,151,,16592,289,1598,0,0,4832,568,2837,,0,,10124
NY,Oneida,192,115,33,5613,,193,,57,2381,91,,8368,194,832,22,60,3767,484,2339,,144,,7842
NY,Onondaga,202,198,90,22314,,385,,190,12982,242,,36203,544,2764,53,98,12351,1266,7517,,279,,24872
NY,Ontario,92,92,17,4512,,76,,28,2314,33,,6980,195,1008,0,0,2989,513,2362,,0,,7067
NY,Orange,154,141,60,11492,,252,,309,8086,110,,20309,487,1404,0,0,7814,1163,4870,,0,,15738
NY,Orleans,26,26,5,1558,,43,,13,410,14,,2043,65,377,5,16,1106,185,695,,42,,2491
NY,Oswego,65,65,15,4060,,86,,16,1355,33,,5565,240,1271,0,0,4268,600,1816,,0,,8195
NY,Otsego,57,57,12,2013,,60,,39,1401,22,,3547,57,394,6,41,1386,274,758,,29,,2945
NY,Putnam,41,41,24,3524,,114,,35,2575,40,,6312,151,417,0,0,2450,284,1640,,0,,4942
NY,Queens,1494,1484,445,117845,,1349,,1133,74322,646,,195740,762,1566,86,85,10992,1269,4908,,211,,19879
NY,Rensselaer,91,91,30,5719,,113,,55,3172,46,,9135,108,701,9,24,2874,443,1576,,122,,5857
