state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,Uncommitted-D,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
VA,Virginia Beach,95,95,47,17446,,261,,63,33544,53,,132,12523,,,17282,1946,777,,158
VA,Warren,14,14,5,1684,,22,,7,1358,5,,4,980,,,1083,227,65,,20
VA,Washington,19,19,4,2920,,51,,14,1263,5,,5,2195,,,1152,131,70,,22
VA,Waynesboro,4,4,2,765,,14,,4,971,1,,3,648,,,682,91,65,,9
VA,Westmoreland,7,7,4,768,,7,,10,1284,4,,6,364,,,664,35,38,,8
VA,Williamsburg,3,3,0,617,,7,,5,1452,1,,3,238,,,522,86,44,,5
VA,Winchester,5,5,5,948,,25,,11,1460,5,,3,493,,,734,46,65,,10
VA,Wise,12,12,3,2320,,41,,7,459,6,,4,1108,,,583,42,13,,6
VA,Wythe,12,12,3,1265,,27,,5,613,3,,6,1000,,,627,36,25,,9
VA,York,14,14,11,2842,,38,,10,5535,6,,21,3054,,,3601,422,217,,41
