state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,Uncommitted-D,Uninstructed-D,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,Uninstructed-R
WI,Pepin,11,11,1,590,0,11,1,9,629,1,,3,34,218,1,,175,23,4,1,5,4
WI,Pierce,28,28,7,2583,3,42,4,15,3076,3,,4,10,641,2,,912,154,46,3,32,2
WI,Polk,36,36,11,3503,3,88,5,36,3232,5,,10,19,1161,29,,1697,313,84,1,70,21
WI,Portage,38,38,11,6707,8,115,13,43,8993,8,,10,16,2187,8,,1867,330,69,2,21,11
WI,Price,44,44,5,1453,1,29,0,8,1789,1,,9,6,596,10,,724,55,20,1,5,2
WI,Racine,64,64,16,16294,17,227,13,75,20620,20,,24,49,4986,27,,8337,618,269,9,103,28
WI,Richland,33,33,1,1401,0,20,0,4,1730,3,,1,4,548,3,,442,113,8,0,6,4
WI,Rock,88,88,16,13134,16,206,11,53,17525,13,,18,32,3169,16,,4535,481,188,6,40,14
WI,Rusk,33,33,2,1274,1,20,1,14,1370,3,,0,3,724,5,,507,73,15,1,9,1
WI,Sauk,55,55,7,4829,4,86,5,21,6931,7,,6,19,1832,1,,2071,172,54,1,12,7
WI,Sawyer,21,21,3,1195,1,24,4,5,1468,4,,5,7,532,4,,684,59,29,1,12,7
WI,Shawano,43,43,3,2977,1,39,3,13,3316,8,,2,18,1251,9,,1605,111,55,3,15,5
WI,Sheboygan,58,58,23,9493,5,129,13,44,10918,13,,19,46,4371,32,,5489,447,226,4,96,25
WI,St. Croix,38,38,15,4899,6,79,4,59,5468,5,,25,19,1597,14,,2459,381,134,3,95,30
WI,Taylor,30,30,2,1378,0,33,2,8,1668,1,,0,7,785,2,,654,91,17,0,7,6
WI,Trempealeau,26,26,6,2690,4,39,4,17,2629,2,,2,4,898,6,,728,60,23,1,13,3
WI,Vernon,33,33,3,2225,5,27,2,24,2805,2,,1,10,1049,3,,745,189,18,1,4,2
WI,Vilas,15,15,7,1991,1,36,3,8,2732,1,,3,16,933,2,,1603,107,77,1,9,7
WI,Walworth,43,43,8,6462,9,103,12,35,9766,11,,21,43,2835,9,,4858,387,163,3,64,27
WI,Washburn,29,29,5,1423,1,34,1,17,1537,1,,3,7,530,6,,620,57,33,3,12,2
WI,Washington,36,36,19,9676,8,108,8,36,10529,9,,10,66,4487,24,,8401,441,280,3,109,24
WI,Waukesha,208,208,41,34003,23,307,21,105,37648,31,,31,208,13960,77,,28042,1333,1064,7,308,52
WI,Waupaca,38,38,7,3344,4,36,4,16,4575,4,,10,17,1670,15,,2191,158,49,1,32,10
WI,Waushara,26,26,3,1743,0,29,1,13,1835,2,,6,12,739,3,,1069,78,21,1,10,4
WI,Winnebago,74,74,24,11878,9,173,11,43,18265,8,,19,64,4110,18,,7733,796,226,3,69,26
WI,Wood,34,34,6,6327,10,159,5,32,9082,11,,18,33,3189,8,,3357,353,130,2,38,11
