
state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
MS,Simpson,30,30,14,1428,6,43,7,11,2506,11,8,226,3,7,1871,74,19,2,33
MS,Smith,19,19,14,1219,3,38,4,5,988,9,6,153,5,3,1018,39,7,1,15
MS,Stone,17,17,11,1301,6,33,4,1,895,7,14,61,2,4,332,39,9,2,1
MS,Sunflower,18,18,22,1298,7,28,5,14,3432,30,1,14,0,2,229,3,0,0,3
MS,Tallahatchie,22,22,26,992,13,41,8,15,1901,16,1,31,0,0,164,8,2,0,0
MS,Tate,19,19,20,1707,6,39,1,10,1885,10,8,256,4,17,1188,54,17,1,22
MS,Tippah,24,24,16,2335,11,60,9,6,863,22,8,172,3,9,777,45,2,1,13
MS,Tishomingo,19,19,17,2486,7,89,3,4,393,15,2,144,2,4,638,28,17,2,8
MS,Tunica,12,12,13,445,2,17,2,1,989,12,1,4,0,0,28,3,1,0,0
MS,Union,20,20,19,2570,5,72,3,4,980,16,5,262,5,9,1185,45,8,0,17
MS,Walthall,21,21,17,913,10,27,12,11,1640,15,4,76,4,8,587,22,15,8,15
MS,Warren,22,22,14,2191,6,51,11,9,5402,13,8,151,5,9,1249,73,15,0,21
MS,Washington,20,20,13,1518,8,26,7,14,6164,13,4,40,0,2,312,19,6,0,3
MS,Wayne,24,24,28,1815,6,65,7,12,2050,19,4,70,0,0,364,22,3,1,5
MS,Webster,17,17,5,979,8,28,8,5,597,4,12,130,1,5,757,19,5,1,8
MS,Wilkinson,9,9,20,351,4,17,9,10,1642,10,2,27,0,1,172,16,0,0,0
MS,Winston,13,13,18,1183,8,39,4,12,2393,16,6,183,4,1,1112,21,6,1,10
MS,Yalobusha,11,11,16,1094,2,26,4,2,1479,9,6,99,0,2,566,15,10,0,4
MS,Yazoo,26,26,15,1327,9,25,5,15,3278,19,2,62,3,2,658,28,9,2,12
