
county,precincts,reporting,clinton,dodd,gravel,kucinich,uncommitted-d,brownback,giuliani,huckabee,hunter,mccain,paul,romney,trancredo,thompson,uncommitted-r
Sanilac,31,31,1174,17,10,32,493,2,87,754,17,1167,392,1734,5,177,100
Schoolcraft,10,10,272,5,3,5,100,0,23,80,2,210,29,189,1,34,13
Shiawassee,34,34,2920,31,18,106,1318,3,160,1802,22,2101,553,2238,4,250,207
St. Clair,72,72,5482,82,53,274,2670,3,382,2396,66,4229,1733,6485,10,591,381
St. Joseph,26,26,1121,16,9,44,607,0,84,1241,7,1902,224,1224,1,192,89
Tuscola,32,32,1759,13,14,54,747,1,69,1186,51,1380,517,1741,1,182,120
Van Buren,34,34,1683,10,12,107,1025,3,112,1048,19,2557,341,1736,2,203,115
Washtenaw,154,154,12284,125,96,2455,12992,14,835,3572,79,9318,2262,10223,18,1059,405
Wayne,1233,1233,81850,773,439,5123,75274,44,3357,13787,344,25809,6687,43939,58,3393,2134
Wexford,20,20,695,11,5,49,0,1,50,575,11,1227,167,1031,4,134,0
