
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
OH,Preble,45,45,,4291,,196,,1977,,,,,2569,,,3285,219,149,104,,
OH,Putnam,35,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Richland,113,87,,10602,,422,,7461,,,,,4036,,,6510,640,580,203,,
OH,Ross,76,57,,6753,,235,,2985,,,,,1958,,,2937,138,138,69,,
OH,Sandusky,72,21,,1776,,54,,1415,,,,,598,,,1065,95,77,40,,
OH,Scioto,92,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Seneca,52,1,,528,,20,,371,,,,,208,,,597,45,52,16,,
OH,Shelby,35,35,,4037,,249,,2698,,,,,2139,,,2724,275,146,77,,
OH,Stark,364,181,,18831,,825,,12118,,,,,4287,,,8783,832,561,254,,
OH,Summit,499,218,,,,,,,,,,,4360,,,10225,836,685,219,,
OH,Summit,499,234,,33214,,966,,31626,,,,,,,,,,,,,
OH,Trumbull,273,11,,1803,,66,,634,,,,,163,,,271,29,16,11,,
OH,Tuscarawas,81,79,,11464,,705,,5925,,,,,2603,,,3710,342,191,98,,
OH,Union,45,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Van Wert,39,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Vinton,20,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Warren,182,31,,,,,,,,,,,2297,,,4258,236,275,85,,
OH,Warren,182,34,,3517,,80,,3048,,,,,,,,,,,,,
OH,Washington,56,28,,4245,,153,,1668,,,,,1295,,,2617,261,116,54,,
OH,Wayne,96,63,,5813,,219,,3792,,,,,3388,,,4620,495,321,161,,
OH,Williams,44,44,,2948,,86,,2131,,,,,1662,,,2745,269,161,80,,
OH,Wood,97,87,,10701,,222,,6875,,,,,2757,,,5105,679,493,217,,
OH,Wyandot,27,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
RI,*,179,87,,48682,,541,,30177,,477,9,,2664,,47,7522,777,523,,,253
RI,Barrington,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Bristol,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Burrillville,4,4,,1427,,20,,704,,20,0,,98,,0,230,38,22,,,11
RI,Central Falls,5,5,,1343,,8,,550,,11,0,,18,,2,61,6,5,,,8
RI,Charlestown,3,1,,202,,3,,203,,1,0,,27,,0,60,17,3,,,3
RI,Coventry,5,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Cranston,10,7,,6192,,47,,3863,,39,3,,376,,5,894,86,55,,,43
RI,Cumberland,5,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,East Greenwich,2,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,East Providence,4,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Exeter,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Foster,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Glocester,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Hopkinton,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
