
state,county,precincts,reporting,clinton,gravel,obama,nopreference-d,huckabee,keyes,mccain,paul,romney,nopreference-r
NC,Bertie,12,12,1821,49,3554,91,22,1,196,2,,11
NC,Bladen,17,17,4270,151,4146,284,83,14,450,53,,26
NC,Brunswick,23,23,9104,168,7216,224,688,81,5129,420,,227
NC,Buncombe,78,78,22290,321,27899,523,1623,348,7159,1558,,482
NC,Burke,31,31,8170,103,3633,141,771,103,3360,219,,185
NC,Cabarrus,49,49,9875,145,10648,272,1227,442,6757,925,,403
NC,Caldwell,24,24,6096,139,2521,217,972,99,4848,326,,306
NC,Camden,3,3,854,28,648,52,37,9,275,25,,15
NC,Carteret,34,34,6120,133,3758,251,590,151,4927,249,,197
NC,Caswell,11,11,1868,84,3134,142,96,15,451,48,,20
NC,Catawba,41,41,9746,107,7251,188,1843,287,10377,773,,522
NC,Chatham,19,19,6175,150,8712,279,322,75,2328,263,,116
NC,Cherokee,16,16,2350,36,792,46,254,33,1075,81,,41
NC,Chowan,6,6,1472,28,1652,78,89,17,801,33,,35
NC,Clay,9,9,1222,17,420,18,110,4,697,45,,12
NC,Cleveland,28,28,8426,154,7211,275,572,144,2673,310,,138
NC,Columbus,29,29,8074,218,5341,292,114,21,932,65,,61
NC,Craven,27,27,4798,143,6226,306,477,88,3716,255,,202
NC,Cumberland,69,69,16125,372,33212,545,1109,236,8258,494,,390
NC,Currituck,11,11,2167,77,1231,178,174,24,1092,71,,58
NC,Dare,16,16,3190,83,2617,173,166,30,1287,114,,75
NC,Davidson,43,43,9602,151,7077,231,1601,170,7773,531,,400
NC,Davie,14,14,2544,47,1804,76,708,91,4876,247,,236
NC,Duplin,20,18,4004,99,3680,202,155,25,1119,68,,52
NC,Durham,61,61,16601,250,53096,711,737,228,5133,690,,341
NC,Edgecombe,21,21,4074,110,9294,173,125,14,919,39,,71
NC,Forsyth,101,101,19266,251,41186,407,2343,537,14061,1094,,793
NC,Franklin,18,18,5055,120,5735,172,399,74,2201,330,,124
NC,Gaston,46,46,11980,175,9997,279,1176,446,6378,833,,387
NC,Gates,6,6,1209,38,1329,96,31,2,243,7,,13
NC,Graham,4,4,956,21,220,40,187,14,741,25,,21
NC,Granville,15,15,4273,104,6497,233,219,54,1220,150,,80
NC,Greene,10,10,2184,47,1953,0,52,13,295,24,,14
NC,Guilford,163,163,28033,557,63852,1199,4183,904,25392,1852,,1269
NC,Halifax,30,30,4877,149,7880,191,104,14,749,25,,24
NC,Harnett,18,18,7106,165,6058,214,550,89,3435,297,,166
NC,Haywood,29,29,8551,160,3759,415,519,71,2338,371,,166
NC,Henderson,35,35,8394,77,5913,125,1466,251,8358,833,,469
NC,Hertford,13,13,1460,40,3944,103,35,6,244,11,,19
NC,Hoke,13,13,2050,56,4142,99,63,17,551,32,,39
NC,Hyde,7,7,719,31,676,61,11,3,100,10,,9
NC,Iredell,29,29,10065,218,8344,342,1421,346,9339,623,,549
NC,Jackson,18,18,4341,75,2448,165,184,25,903,117,,50
NC,Johnston,37,37,11638,235,9449,464,1278,242,8288,767,,420
NC,Jones,7,7,1149,31,1422,63,37,16,289,16,,15
NC,Lee,9,9,5288,139,4193,324,356,63,2500,198,,128
NC,Lenoir,22,22,5101,130,6778,257,224,32,1753,81,,78
NC,Lincoln,28,28,6727,113,2781,144,976,202,5434,538,,317
NC,Macon,15,15,3533,61,1617,96,399,40,1943,234,,87
NC,Madison,12,12,2326,54,1242,72,179,45,570,130,,69
NC,Martin,13,13,2938,86,3707,171,86,12,495,18,,33
NC,McDowell,17,17,4170,98,1487,125,371,35,1419,111,,118
NC,Mecklenburg,198,192,42256,350,101390,679,3733,2120,30631,6842,,1626
NC,Mitchell,9,9,778,9,422,14,442,29,1832,279,,198
NC,Montgomery,14,14,2775,95,2103,142,323,27,1377,69,,56
NC,Moore,24,24,5453,98,6492,174,1043,108,8864,549,,369
NC,Nash,26,26,7684,183,11552,333,698,94,4348,338,,208

NC,New Hanover,43,43,13367,200,18304,363,1315,213,9299,1231,,420
NC,Northampton,18,18,2116,61,3891,101,48,2,257,7,,6
NC,Onslow,27,27,5442,201,5717,338,547,194,4872,358,,231
NC,Orange,44,44,11540,249,27824,363,554,122,3950,725,,271
NC,Pamlico,10,10,1185,51,1330,82,88,23,625,41,,35
NC,Pasquotank,13,13,2463,59,4490,144,138,16,703,47,,59
NC,Pender,20,20,3685,95,4053,135,323,43,2063,265,,93
NC,Perquimans,7,7,1341,35,1242,108,63,20,448,25,,21
NC,Person,14,14,4060,85,4048,235,181,28,972,87,,48
NC,Pitt,38,38,10214,201,16295,414,590,73,4398,218,,250
NC,Polk,7,7,1871,26,1548,30,181,46,1255,130,,63
NC,Randolph,42,42,6216,145,3426,177,1734,126,7279,670,,378
NC,Richmond,16,16,5037,224,4262,437,124,18,939,92,,50
NC,Robeson,41,41,12673,356,9758,835,180,19,1064,74,,94
NC,Rockingham,20,20,7567,222,6971,446,742,60,3495,216,,230
NC,Rowan,44,44,7811,177,8143,298,1212,252,7332,550,,432
NC,Rutherford,20,20,5765,110,3133,304,544,92,1992,201,,87
NC,Sampson,23,23,3962,43,5047,87,329,30,2883,111,,102
NC,Scotland,10,10,2861,73,3849,181,65,10,544,57,,27
NC,Stanly,24,24,4732,112,2747,178,652,123,3839,231,,199
NC,Stokes,23,23,3901,65,1706,96,515,85,2649,188,,136
NC,Surry,32,32,7129,101,2604,133,528,55,2953,163,,140
NC,Swain,5,5,1718,33,630,77,90,9,377,37,,13
NC,Transylvania,18,18,3138,52,2656,95,427,63,2098,242,,83
NC,Tyrrell,6,6,630,29,437,63,11,4,104,2,,5
NC,Union,49,49,10090,118,9616,209,1910,790,10311,1324,,619
NC,Vance,16,16,4014,91,6905,243,91,23,742,43,,61
NC,Wake,210,210,66580,684,127942,1299,5648,1643,34676,5477,,1793
NC,Warren,14,14,1627,66,3648,86,50,12,301,14,,10
NC,Washington,6,6,1479,60,2218,87,31,9,210,7,,9
NC,Watauga,20,20,3645,32,4570,62,421,66,2206,367,,90
NC,Wayne,30,30,6783,190,10402,450,576,80,4621,207,,197
NC,Wilkes,28,28,5514,81,1986,118,1138,81,5765,337,,332
NC,Wilson,25,25,5474,126,9556,217,357,41,2601,139,,130
NC,Yadkin,12,12,2276,98,964,49,680,72,4234,253,,220
NC,Yancey,11,11,2597,48,1025,94,309,30,972,125,,65
