
state,county,precincts,reporting,clinton,edwards,gravel,obama,curry,giuliani,huckabee,keyes,mccain,paul,romney
WV,Gilmer,12,4,369,64,,109,1,2,11,1,97,6,0
WV,Grant,15,12,356,40,,150,30,31,164,11,1509,25,45
WV,Greenbrier,36,6,1201,155,,748,3,10,49,3,357,26,26
WV,Hampshire,23,1,71,6,,31,1,1,1,0,24,0,0
WV,Hancock,28,22,3487,438,,1318,6,39,116,27,912,55,75
WV,Hardy,18,6,1041,234,,302,3,6,26,1,232,4,9
WV,Harrison,89,21,5074,607,,1636,15,50,224,51,1540,62,101
WV,Jackson,34,22,,,,,13,52,255,18,1820,117,93
WV,Jackson,34,34,3602,379,,1178,,,,,,,
WV,Jefferson,31,31,4322,398,,4015,7,42,171,30,1658,196,115
WV,Kanawha,160,65,11663,745,,7126,44,121,498,59,4047,352,308
WV,Lewis,24,3,196,22,,65,1,2,3,0,121,0,0
WV,Lincoln,35,28,3296,344,,510,8,15,62,2,457,22,12
WV,Logan,35,10,2268,148,,275,1,6,13,2,109,2,4
WV,Marion,76,76,9347,996,,3421,17,136,346,49,2418,125,158
WV,Marshall,45,30,2548,346,,1053,8,47,147,11,1078,55,65
WV,Mason,38,0,0,0,,0,0,0,0,0,0,0,0
WV,McDowell,42,11,794,55,,174,2,2,4,0,30,1,0
WV,Mercer,61,0,0,0,,0,0,0,0,0,0,0,0
WV,Mineral,32,0,0,0,,0,0,0,0,0,0,0,0
WV,Mingo,39,18,4587,259,,523,1,7,24,3,162,4,5
WV,Monongalia,72,69,7769,911,,5505,18,137,402,60,2766,267,257
WV,Monroe,17,17,1841,274,,607,9,16,138,10,981,72,39
WV,Morgan,13,9,710,95,,456,4,20,132,10,1054,72,46
WV,Nicholas,28,0,,,,,0,0,0,0,0,0,0
WV,Nicholas,28,11,1456,197,,454,,,,,,,
WV,Ohio,39,39,5061,540,,3075,12,89,294,71,3019,164,260
WV,Pendleton,13,0,0,0,,0,0,0,0,0,0,0,0
WV,Pleasants,11,11,933,170,,372,1,12,61,5,413,36,26
WV,Pocahontas,15,15,1318,214,,557,10,10,78,5,484,27,21
WV,Preston,35,35,2878,456,,1061,36,132,541,63,2754,147,131
WV,Putnam,48,4,,,,,3,10,92,13,788,55,42
WV,Putnam,48,13,2382,205,,983,,,,,,,
WV,Raleigh,63,50,7826,904,,3192,10,32,357,16,2187,93,76
WV,Randolph,27,27,4322,637,,1705,6,36,150,6,1195,58,69
WV,Ritchie,15,15,707,83,,211,12,44,150,20,1411,98,81
WV,Roane,20,14,1242,131,,397,6,26,103,2,707,42,35
WV,Summers,15,0,0,0,,0,0,0,0,0,0,0,0
WV,Taylor,18,4,404,33,,93,2,0,19,5,115,6,15
WV,Tucker,11,8,911,176,,262,3,19,48,3,330,11,9
WV,Tyler,12,12,766,116,,311,19,41,177,25,1202,65,60
WV,Upshur,29,6,413,35,,171,4,16,105,8,621,29,24
WV,Wayne,37,0,0,0,,0,0,0,0,0,0,0,0
WV,Webster,13,10,1343,152,,242,1,6,15,1,95,8,5
WV,Wetzel,22,15,1917,296,,715,0,10,55,7,450,15,37
WV,Wirt,9,9,724,115,,228,6,20,57,3,428,34,12
WV,Wood,84,84,8391,930,,3201,40,203,849,99,5766,458,502
WV,Wyoming,36,17,,,,,1,4,16,1,262,6,6

WV,Wyoming,36,29,2309,275,,313,,,,,,,
