
state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,uncommitted-d,total-d,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,uncommitted-r,total-r
AR,Crawford,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Crittenden,45,13,1,823,2,12,0,2,942,3,4,1789,2,698,,,184,35,138,,8,4,1069
AR,Cross,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Dallas,22,18,4,436,2,17,1,0,249,4,7,720,1,268,,,57,17,25,,0,1,369
AR,Desha,22,4,0,101,0,2,0,0,73,0,1,177,0,21,,,8,0,4,,1,0,34
AR,Drew,19,12,1,1032,0,43,1,0,367,7,15,1466,0,499,,,165,15,66,,5,4,754
AR,Faulkner,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Franklin,31,23,2,1413,3,74,4,1,215,13,10,1735,6,643,,,229,57,129,,5,2,1071
AR,Fulton,14,1,1,290,1,14,0,0,26,0,2,334,0,79,,,26,10,10,,4,1,130
AR,Garland,41,27,4,6742,5,105,2,13,2049,13,99,9032,25,4103,,,1329,353,1207,,14,45,7076
AR,Grant,22,22,5,1953,0,54,4,3,193,7,44,2263,4,1248,,,349,99,141,,3,9,1853
AR,Greene,34,2,2,1209,3,46,0,2,116,3,14,1395,1,385,,,66,16,69,,2,2,541
AR,Hempstead,28,1,2,200,1,7,0,1,38,1,4,254,0,108,,,19,0,10,,0,0,137
AR,Hot Spring,30,1,1,390,0,25,0,0,75,3,13,507,0,97,,,47,6,27,,0,1,178
AR,Howard,21,14,2,871,0,26,3,0,244,3,12,1161,4,395,,,131,8,48,,5,4,595
AR,Independence,31,29,16,2744,5,51,2,1,406,15,50,3290,6,1574,,,416,68,194,,0,7,2265
AR,Izard,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Jackson,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0
AR,Jefferson,202,55,2,2636,4,40,1,3,1842,13,11,4552,3,1012,,,266,34,128,,4,5,1452
AR,Johnson,24,1,1,361,2,19,1,1,53,0,2,440,0,114,,,45,5,39,,0,2,205
AR,Lafayette,22,2,1,115,0,12,0,0,43,0,11,182,1,51,,,14,0,16,,3,1,86
