county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson
Epping,1,1,1,578,0,245,2,9,374,54,81,152,9,1,362,89,324,0,10

Epsom,1,1,0,372,0,204,1,6,255,44,84,186,7,1,339,108,235,0,7

Errol,1,1,0,16,0,9,0,0,27,12,3,7,0,0,25,4,32,0,0


Exeter,1,1,10,1407,1,584,5,52,1698,166,241,224,8,2,1203,167,891,0,27

Farmington,1,1,1,559,1,219,0,21,322,46,75,168,7,2,263,72,200,0,14

Fitzwilliam,1,1,0,232,1,106,3,8,154,33,26,59,4,0,166,52,125,0,2


Francestown,1,1,1,110,0,87,0,5,227,28,40,39,4,1,168,43,133,0,4

Franconia,1,1,1,87,0,63,1,2,199,25,22,22,1,0,116,5,54,0,0

Franklin,3,3,1,777,0,334,3,16,452,71,108,187,6,2,471,95,300,0,15


Freedom,1,1,0,103,0,62,3,7,128,15,25,36,1,1,155,14,129,0,6

Fremont,1,1,2,310,1,157,4,5,228,26,80,77,4,1,326,46,313,0,15

Gilford,1,1,5,595,0,246,2,19,668,80,139,139,8,1,740,78,735,1,21


Gilmanton,1,1,2,273,1,130,1,7,284,55,76,111,2,2,300,84,236,0,12

Gilsum,1,1,0,49,0,36,0,36,73,18,10,17,4,0,53,10,46,0,5

Goffstown,1,1,6,1352,0,542,10,26,1144,204,308,417,19,2,1212,260,1258,2,30


Gorham,1,1,2,330,2,199,1,0,221,39,32,70,2,0,142,26,87,0,2

Goshen,1,1,0,55,1,34,0,2,68,11,21,25,2,0,57,29,24,0,2

Grafton,1,1,0,99,0,62,0,3,93,9,13,35,1,1,74,56,56,0,6


Grantham,1,1,1,294,0,128,0,4,433,45,53,46,2,0,299,41,199,0,5

Greenfield,1,1,0,101,0,56,1,21,158,25,26,38,0,0,130,30,117,0,8

Greenland,1,1,2,351,0,137,1,7,355,44,80,70,2,0,330,39,278,0,14


Greenville,1,1,0,198,0,48,2,5,96,54,16,32,5,0,86,0,0,0,0




Groton,1,1,0,36,0,23,1,0,33,10,7,10,0,0,48,14,24,1,5

Hampstead,1,1,8,813,1,310,2,14,543,52,211,144,9,2,769,108,929,0,24


Hampton,1,1,17,1700,4,750,4,25,1295,150,286,217,7,1,1217,144,1217,0,22

