
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
OH,Pike,24,24,,4216,,210,,1140,,,,,913,,,1050,41,26,34,,
OH,Portage,131,121,,18012,,651,,11120,,,,,2558,,,5808,563,342,138,,
OH,Preble,45,45,,4291,,196,,1977,,,,,2569,,,3285,219,149,104,,
OH,Putnam,35,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Richland,113,108,,11382,,458,,8124,,,,,4398,,,6986,688,609,217,,
OH,Ross,76,76,,9190,,302,,3712,,,,,2557,,,3602,185,169,87,,
OH,Sandusky,72,68,,5560,,184,,3842,,,,,2041,,,3394,370,246,137,,
OH,Scioto,92,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Seneca,52,17,,2446,,92,,1665,,,,,784,,,1612,164,146,51,,
OH,Shelby,35,35,,4037,,249,,2698,,,,,2139,,,2724,275,146,77,,
OH,Stark,364,226,,23220,,1022,,15110,,,,,5300,,,10913,993,685,312,,
OH,Summit,499,218,,,,,,,,,,,4360,,,10225,836,685,219,,
OH,Summit,499,313,,44514,,1328,,38054,,,,,,,,,,,,,
OH,Trumbull,273,11,,1803,,66,,634,,,,,163,,,271,29,16,11,,
OH,Tuscarawas,81,79,,11464,,705,,5925,,,,,2603,,,3710,342,191,98,,
OH,Union,45,19,,1697,,49,,1368,,,,,1257,,,2139,114,121,70,,
OH,Van Wert,39,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
OH,Vinton,20,20,,1887,,107,,448,,,,,559,,,857,31,30,31,,
OH,Warren,182,90,,,,,,,,,,,5856,,,9367,498,522,183,,
OH,Warren,182,95,,8813,,207,,6778,,,,,,,,,,,,,
OH,Washington,56,50,,7166,,277,,2631,,,,,2231,,,4168,444,174,95,,
OH,Wayne,96,96,,9474,,312,,6032,,,,,5101,,,7170,739,487,222,,
OH,Williams,44,44,,2948,,86,,2131,,,,,1662,,,2745,269,161,80,,
OH,Wood,97,87,,10701,,222,,6875,,,,,2757,,,5105,679,493,217,,
OH,Wyandot,27,0,,0,,0,,0,,,,,0,,,0,0,0,0,,
RI,*,179,146,,83728,,879,,57467,,749,21,,4808,,96,14370,1459,963,,,456
RI,Barrington,3,3,,1874,,15,,2031,,12,1,,177,,2,674,39,41,,,18
RI,Bristol,3,3,,2426,,22,,1486,,19,1,,104,,1,407,42,29,,,7
RI,Burrillville,4,4,,1427,,20,,704,,20,0,,98,,0,230,38,22,,,11
RI,Central Falls,5,5,,1343,,8,,550,,11,0,,18,,2,61,6,5,,,8
RI,Charlestown,3,3,,697,,10,,682,,3,1,,75,,0,244,33,8,,,11
RI,Coventry,5,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Cranston,10,7,,6192,,47,,3863,,39,3,,376,,5,894,86,55,,,43
RI,Cumberland,5,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,East Greenwich,2,2,,1168,,13,,1227,,7,0,,134,,2,548,30,34,,,6
RI,East Providence,4,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Exeter,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Foster,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Glocester,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Hopkinton,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Jamestown,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Johnston,5,5,,5018,,54,,1539,,53,0,,134,,3,282,32,16,,,4

RI,Lincoln,5,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Little Compton,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Mail Ballots - CD1,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Mail Ballots - CD2,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Middletown,4,4,,1195,,19,,1096,,11,0,,106,,3,413,32,23,,,13
RI,Narragansett,2,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,New Shoreham,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Newport,4,4,,1777,,21,,2162,,24,0,,100,,3,549,45,32,,,10
RI,North Kingstown,4,4,,2528,,27,,2451,,24,0,,264,,4,856,99,61,,,22
RI,North Providence,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,North Smithfield,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Pawtucket,17,15,,6680,,82,,3654,,94,0,,208,,1,453,57,40,,,18
RI,Portsmouth,5,4,,1330,,16,,1212,,4,0,,127,,2,637,42,35,,,11
RI,Providence,31,6,,1832,,18,,2248,,17,0,,38,,2,135,19,9,,,5
RI,Richmond,1,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Scituate,2,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Smithfield,4,4,,2343,,32,,1205,,17,1,,191,,3,432,45,45,,,9
RI,South Kingstown,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Tiverton,4,4,,1950,,20,,1030,,18,0,,113,,3,380,24,22,,,10
RI,Warren,3,0,,0,,0,,0,,0,0,,0,,0,0,0,0,,,0
RI,Warwick,9,9,,10010,,109,,6240,,84,2,,614,,13,1654,157,119,,,55
RI,West Greenwich,1,1,,550,,3,,353,,1,0,,69,,1,142,27,13,,,3
RI,West Warwick,5,5,,2790,,33,,1348,,26,0,,153,,1,346,36,31,,,17
RI,Westerly,3,3,,1817,,14,,1320,,19,0,,163,,9,499,31,32,,,19
RI,Woonsocket,8,8,,3705,,48,,1827,,44,4,,185,,3,403,59,29,,,22
TX,*,8247,1780,2942,699064,2030,15605,,702818,5921,,,,,,,,,,,,
TX,*,7959,1998,,,,,,,,,664,3133,242043,4113,4314,377613,33755,15581,5970,332,9845
TX,Anderson,25,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Anderson,25,1,,,,,,,,,0,2,588,4,4,829,48,15,17,0,0
TX,Andrews,5,5,10,674,10,82,,448,29,,1,4,446,2,5,480,15,13,14,1,2
TX,Angelina,47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Aransas,7,1,2,569,0,12,,527,9,,0,21,459,2,8,1600,168,59,20,4,82
TX,Archer,15,15,7,785,6,36,,295,12,,1,9,457,5,3,742,26,20,8,1,16
TX,Armstrong,2,2,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Armstrong,7,7,,,,,,,,,0,4,174,3,2,114,50,3,3,1,15
TX,Atascosa,14,1,,,,,,,,,0,4,200,1,2,364,26,12,8,0,6
TX,Atascosa,24,1,4,880,4,36,,569,8,,,,,,,,,,,,
TX,Austin,19,1,10,380,9,13,,339,10,,5,5,244,22,11,382,50,16,10,5,9
TX,Bailey,5,5,2,306,0,14,,175,10,,0,2,266,0,0,375,13,9,4,0,12
TX,Bandera,11,1,1,391,3,5,,364,8,,0,9,508,1,22,1179,110,41,19,0,93
TX,Bastrop,22,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Bastrop,22,1,,,,,,,,,1,5,736,2,10,952,208,39,20,1,28
TX,Baylor,5,1,,,,,,,,,0,0,11,0,0,51,3,0,0,0,0
TX,Baylor,5,4,5,613,1,95,,186,10,,,,,,,,,,,,
TX,Bee,18,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Bell,50,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Bexar,623,23,132,57923,143,450,,47439,400,,14,144,10881,66,211,21771,1343,845,260,9,397
TX,Blanco,5,3,2,410,0,12,,458,2,,,,,,,,,,,,
TX,Blanco,5,4,,,,,,,,,1,3,300,2,7,368,66,27,9,0,6
TX,Borden,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Borden,8,8,1,93,0,9,,32,4,,,,,,,,,,,,
TX,Bosque,17,5,12,547,0,83,,321,13,,0,0,137,2,3,221,8,16,5,0,2
TX,Bowie,37,1,23,1971,4,107,,1540,41,,1,0,1166,4,3,549,25,20,2,0,8
TX,Brazoria,72,1,,,,,,,,,0,39,3630,108,104,5872,1906,203,76,2,117
TX,Brazoria,72,14,30,8098,9,125,,8747,38,,,,,,,,,,,,
TX,Brazos,43,1,4,1801,2,31,,2849,7,,2,8,1486,15,31,2247,190,115,57,0,46
TX,Brewster,9,1,5,645,5,32,,722,24,,2,8,222,8,3,357,78,11,4,0,1
TX,Briscoe,6,6,1,164,1,13,,89,5,,0,3,120,2,0,132,4,2,3,0,8
TX,Brooks,10,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Brooks,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0

TX,Brown,19,1,1,655,0,18,,300,5,,2,11,628,2,9,1252,59,36,19,0,43
TX,Burleson,16,1,1,358,0,15,,234,1,,0,4,134,2,3,213,18,6,0,0,4
TX,Burnet,23,5,0,1065,3,23,,887,8,,0,24,910,6,9,1868,135,40,19,2,66
TX,Caldwell,27,0,0,0,0,0,,0,0,,,,,,,,,,,,
TX,Caldwell,27,1,,,,,,,,,1,3,217,2,5,332,63,10,14,0,5
TX,Calhoun,26,10,,,,,,,,,0,3,113,3,0,234,56,6,2,0,0
TX,Calhoun,26,25,7,1192,10,93,,702,29,,,,,,,,,,,,
TX,Callahan,8,4,2,476,0,22,,203,2,,1,5,283,3,5,301,14,5,3,0,0
TX,Cameron,99,1,79,14671,39,212,,6534,119,,5,29,477,25,15,1371,125,58,22,1,30
TX,Camp,5,1,3,349,1,21,,251,0,,0,0,125,2,1,163,10,7,4,0,4
TX,Carson,10,1,0,89,0,2,,51,1,,,,,,,,,,,,
TX,Carson,10,10,,,,,,,,,0,4,467,10,3,435,29,14,10,0,5
TX,Cass,21,1,,,,,,,,,0,0,88,0,4,49,9,1,0,0,2
TX,Cass,21,21,36,3692,19,276,,1463,33,,,,,,,,,,,,
TX,Castro,10,1,0,125,0,4,,56,11,,0,1,32,0,0,57,2,1,1,0,0
TX,Chambers,14,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Cherokee,29,1,7,908,3,44,,633,11,,1,6,642,3,4,927,36,25,18,0,25
TX,Childress,5,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Clay,9,1,,,,,,,,,0,3,84,2,1,157,9,1,4,0,4
TX,Clay,17,1,3,240,4,31,,87,3,,,,,,,,,,,,
TX,Cochran,6,6,2,184,2,15,,116,10,,0,1,151,1,0,121,1,1,1,0,4
TX,Coke,5,5,12,405,6,89,,226,20,,0,1,57,0,0,65,2,8,0,0,2
TX,Coleman,6,6,1,503,1,27,,164,8,,3,17,645,5,9,956,30,25,29,2,56
TX,Collin,163,28,,,,,,,,,10,109,10879,80,144,13506,1016,780,252,5,253
TX,Collin,163,70,19,16409,17,127,,23560,40,,,,,,,,,,,,
TX,Collingsworth,5,5,2,332,2,41,,156,17,,0,0,94,3,1,85,2,4,1,0,0
TX,Colorado,13,1,1,254,0,4,,252,1,,,,,,,,,,,,
