
state,county,precincts,reporting,clinton,edwards,gravel,obama,curry,giuliani,huckabee,keyes,mccain,paul,romney
WV,Hancock,28,0,0,0,,0,0,0,0,0,0,0,0
WV,Hardy,18,0,0,0,,0,0,0,0,0,0,0,0
WV,Harrison,89,0,0,0,,0,0,0,0,0,0,0,0
WV,Jackson,34,0,0,0,,0,0,0,0,0,0,0,0
WV,Jefferson,31,0,0,0,,0,0,0,0,0,0,0,0
WV,Kanawha,160,0,0,0,,0,0,0,0,0,0,0,0
WV,Lewis,24,0,0,0,,0,0,0,0,0,0,0,0
WV,Lincoln,35,0,0,0,,0,0,0,0,0,0,0,0
WV,Logan,35,0,0,0,,0,0,0,0,0,0,0,0
WV,Marion,76,0,0,0,,0,0,0,0,0,0,0,0
WV,Marshall,45,0,0,0,,0,0,0,0,0,0,0,0
WV,Mason,38,0,0,0,,0,0,0,0,0,0,0,0
WV,McDowell,42,0,0,0,,0,0,0,0,0,0,0,0
WV,Mercer,61,0,0,0,,0,0,0,0,0,0,0,0
WV,Mineral,32,0,0,0,,0,0,0,0,0,0,0,0
WV,Mingo,39,0,0,0,,0,0,0,0,0,0,0,0
WV,Monongalia,72,0,0,0,,0,0,0,0,0,0,0,0
WV,Monroe,17,0,0,0,,0,0,0,0,0,0,0,0
WV,Morgan,13,0,0,0,,0,0,0,0,0,0,0,0
WV,Nicholas,28,0,0,0,,0,0,0,0,0,0,0,0
WV,Ohio,39,0,0,0,,0,0,0,0,0,0,0,0
WV,Pendleton,13,0,0,0,,0,0,0,0,0,0,0,0
WV,Pleasants,11,0,0,0,,0,0,0,0,0,0,0,0
WV,Pocahontas,15,0,0,0,,0,0,0,0,0,0,0,0
WV,Preston,35,0,0,0,,0,0,0,0,0,0,0,0
WV,Putnam,48,0,0,0,,0,0,0,0,0,0,0,0
WV,Raleigh,63,0,0,0,,0,0,0,0,0,0,0,0
WV,Randolph,27,0,0,0,,0,0,0,0,0,0,0,0
WV,Ritchie,15,0,0,0,,0,0,0,0,0,0,0,0
WV,Roane,20,0,0,0,,0,0,0,0,0,0,0,0
WV,Summers,15,0,0,0,,0,0,0,0,0,0,0,0
WV,Taylor,18,0,0,0,,0,0,0,0,0,0,0,0
WV,Tucker,11,0,0,0,,0,0,0,0,0,0,0,0
WV,Tyler,12,0,0,0,,0,0,0,0,0,0,0,0
WV,Upshur,29,0,0,0,,0,0,0,0,0,0,0,0
WV,Wayne,37,0,0,0,,0,0,0,0,0,0,0,0
WV,Webster,13,0,0,0,,0,0,0,0,0,0,0,0
WV,Wetzel,22,0,0,0,,0,0,0,0,0,0,0,0
WV,Wirt,9,0,0,0,,0,0,0,0,0,0,0,0
WV,Wood,84,0,0,0,,0,0,0,0,0,0,0,0
WV,Wyoming,36,0,0,0,,0,0,0,0,0,0,0,0
